location,label,side,material,grade,width,height,length,quantity,level
EXTERNAL,FF-XD15,SQUARE,Other,C16,38,38,1253,1,FF Walls
EXTERNAL,FF-XD15,SQUARE,Other,C16,38,38,112,1,FF Walls
EXTERNAL,FF-XD15,SQUARE,Other,C16,38,38,204,4,FF Walls
EXTERNAL,FF-XD16,SQUARE,Top Rail,C16,38,89,114,1,FF Walls
EXTERNAL,FF-XD16,SQUARE,Bottom Rail,C16,38,89,1746,1,FF Walls
EXTERNAL,FF-XD16,SQUARE,Stud,C16,38,89,259,6,FF Walls
EXTERNAL,FF-XD16,SQUARE,Top Rail,C16,38,89,1632,1,FF Walls
EXTERNAL,FF-XD16,SQUARE,Stud,C16,38,89,42,3,FF Walls
EXTERNAL,FF-XD16,SQUARE,Other,C16,38,38,204,5,FF Walls
EXTERNAL,FF-XD16,SQUARE,Other,C16,38,38,1631,1,FF Walls
EXTERNAL,FF-XD16,SQUARE,Other,C16,38,38,37,2,FF Walls
EXTERNAL,FF-XD16,SQUARE,Other,C16,38,38,1743,1,FF Walls
EXTERNAL,FF-XD16,SQUARE,Other,C16,38,38,112,1,FF Walls
EXTERNAL,FF-XD17,ANGLED,Stud,C16,38,89,256,1,FF Walls
EXTERNAL,FF-XD17,ANGLED,Top Rail,C16,38,89,1015,1,FF Walls
EXTERNAL,FF-XD17,ANGLED,Stud,C16,38,89,400,1,FF Walls
EXTERNAL,FF-XD17,ANGLED,Stud,C16,38,89,400,4,FF Walls
EXTERNAL,FF-XD17,SQUARE,Top Rail,C16,38,89,186,1,FF Walls
EXTERNAL,FF-XD17,ANGLED,Bottom Rail,C16,38,89,1258,1,FF Walls
EXTERNAL,FF-XD17,ANGLED,Stud,C16,38,89,380,1,FF Walls
EXTERNAL,FF-XD17,ANGLED,Other,C16,38,38,1254,2,FF Walls
EXTERNAL,FF-XD17,ANGLED,Other,C16,38,38,182,3,FF Walls
EXTERNAL,FF-XD18,SQUARE,Bottom Rail,C16,38,89,563,1,FF Walls
EXTERNAL,FF-XD18,ANGLED,Stud,C16,38,89,2128,1,FF Walls
EXTERNAL,FF-XD18,ANGLED,Stud,C16,38,89,1794,1,FF Walls
EXTERNAL,FF-XD18,ANGLED,Stud,C16,38,89,1688,1,FF Walls
EXTERNAL,FF-XD18,ANGLED,Top Rail,C16,38,89,767,1,FF Walls
EXTERNAL,FF-XD18,ANGLED,Junction Stud,C16,38,89,1762,1,FF Walls
